Title,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Directed by,Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float)
The Good Liar,"['Bill Condon', 'Greg Yolen']",Tobias A. Schliessler,,109,2019-10-28,Bill Condon,Warner Bros. Pictures,English,Jeffrey Hatcher,"['Helen Mirren', 'Ian McKellen', 'Russell Tovey', 'Jim Carter']",Virginia Katz,Carter Burwell,"['New Line Cinema', 'Bron Creative', '1000 Eyes']",The Good Liar by Nicholas Searle,,10000000.0,33900000.0
The Report,"['Scott Z. Burns', 'Steven Soderbergh', 'Michael Sugar', 'Jennifer Fox', 'Kerry Orent', 'Danny Gabai', 'Eddy Moretti', 'Michael Di Verdi']",Eigil Bryld,United States,119,2019-01-26,Scott Z. Burns,Amazon Studios,English,Scott Z. Burns,"['Adam Driver', 'Annette Bening', 'Jon Hamm', 'Ted Levine', 'Michael C. Hall', 'Tim Blake Nelson', 'Corey Stoll', 'Maura Tierney', 'Douglas Hodge']",Greg O'Bryant,David Wingo,"['VICE Studios', 'Unbranded Pictures', 'Margin of Error', 'Topic Studios']",,,8000000.0,275000.0
Waves,"['Kevin Turen', 'James Wilson', 'Trey Edward Shults']",Drew Daniels,United States,135,2019-08-30,Trey Edward Shults,A24,English,Trey Edward Shults,"['Kelvin Harrison Jr.', 'Taylor Russell', 'Sterling K. Brown', 'Renée Elise Goldsberry', 'Alexa Demie', 'Lucas Hedges']","['Trey Edward Shults', 'Isaac Hagy']","['Trent Reznor', 'Atticus Ross']","['Guy Grand Productions', 'JW Films']",,,6000000.0,2600000.0
Frozen 2,Peter Del Vecho,Mohit Kallianpur,United States,103,2019-11-07,"['Chris Buck', 'Jennifer Lee']",Walt Disney Studios Motion Pictures,English,Jennifer Lee,"['Kristen Bell', 'Idina Menzel', 'Josh Gad', 'Jonathan Groff']",Jeff Draheim,"['Christophe Beck (score)', 'Robert Lopez (songs)', 'Kristen Anderson-Lopez (songs)']","['Walt Disney Pictures', 'Walt Disney Animation Studios']",,"['Jennifer Lee', 'Chris Buck', 'Marc Smith', 'Kristen Anderson-Lopez', 'Robert Lopez']",150000000.0,1453000000.0
A Beautiful Day in the Neighborhood,"['Youree Henley', 'Peter Saraf', 'Marc Turtletaub', 'Leah Holzer']",Jody Lee Lipes,United States,109,2019-09-07,Marielle Heller,Sony Pictures Releasing,English,"['Micah Fitzerman-Blue', 'Noah Harpster']","['Tom Hanks', 'Matthew Rhys', 'Susan Kelechi Watson', 'Chris Cooper']",Anne McCabe,Nate Heller,"['TriStar Pictures', 'Tencent Pictures', 'Big Beach', 'Youree Henley Productions']",Tom Junod,,25000000.0,68400000.0
21 Bridges,"['Anthony Russo Joe Russo', 'Mike Larocca', 'Robert Simonds', 'Gigi Pritzker', 'Chadwick Boseman', 'Logan Coles']",Paul Cameron,United States,100,2019-11-22,Brian Kirk,STXfilms,English,"['Adam Mervis', 'Matthew Michael Carnahan']","['Chadwick Boseman', 'Sienna Miller', 'Stephan James', 'Keith David', 'Taylor Kitsch', 'J. K. Simmons']",Tim Murrell,"['Henry Jackman', 'Alex Belcher']","['MWM Studios', 'H. Brothers', 'AGBO', 'X-Ception Content']",,Adam Mervis,33000000.0,49900000.0
Dark Waters,"['Mark Ruffalo', 'Christine Vachon', 'Pamela Koffler']",Edward Lachman,United States,126,2019-11-12,Todd Haynes,Focus Features,English,"['Mario Correa', 'Matthew Michael Carnahan']","['Mark Ruffalo', 'Anne Hathaway', 'Tim Robbins', 'Bill Camp', 'Victor Garber', 'Mare Winningham', 'Bill Pullman']",Affonso Gonçalves,Marcelo Zarvos,"['Participant', 'Killer Films', 'Willi Hill']",Nathaniel Rich,,,23100000.0
Knives Out,"['Ram Bergman', 'Rian Johnson']",Steve Yedlin,United States,130,2019-09-07,Rian Johnson,Lionsgate,English,Rian Johnson,"['Daniel Craig', 'Chris Evans', 'Ana de Armas', 'Jamie Lee Curtis', 'Michael Shannon', 'Don Johnson', 'Toni Collette', 'LaKeith Stanfield', 'Katherine Langford', 'Jaeden Martell', 'Christopher Plummer']",Bob Ducsay,Nathan Johnson,"['MRC', 'T-Street Productions', 'Ram Bergman Productions']",,,40000000.0,311900000.0
Queen & Slim,"['Lena Waithe', 'Melina Matsoukas', 'Michelle Knudsen', 'Andrew Coles', 'Brad Weston', 'Pamela Abdy']",Tat Radcliffe,United States,132,2019-11-14,Melina Matsoukas,Universal Pictures,English,Lena Waithe,"['Daniel Kaluuya', 'Jodie Turner-Smith', 'Bokeem Woodbine', 'Chloë Sevigny', 'Flea', 'Sturgill Simpson', 'Indya Moore']",Pete Beaudreau,Devonté Hynes,"['Universal Pictures', 'Entertainment One', '3Blackdot', 'Makeready', 'De La Revolución Films', 'Hillman Grad Productions', 'Bron Creative']",,"['James Frey', 'Lena Waithe']",17000000.0,47900000.0
The Two Popes,"['Dan Lin', 'Jonathan Eirich', 'Tracey Seaward']",César Charlone,,125,2019-08-31,Fernando Meirelles,Netflix,,Anthony McCarten,"['Anthony Hopkins', 'Jonathan Pryce']",Fernando Stutz,Bryce Dessner,Rideback,The Pope by Anthony McCarten,,,758711.0
Playmobil: The Movie,"['Aton Soumache', 'Dimitri Rassam', 'Moritz Borman', 'Alexis Vonarb', 'Axel Von Maydell', 'Timothy Burrill', 'Bing Wu']",André Turpin,,99,2019-06-10,Lino DiSalvo,"['Pathé Distribution (France)', 'StudioCanal (United Kingdom)', 'STXfilms (United States)']",English,"['Blaise Hemingway', 'Greg Erb', 'Jason Oremland']","['Anya Taylor-Joy', 'Jim Gaffigan', 'Gabriel Bateman', 'Adam Lambert', 'Kenan Thompson', 'Meghan Trainor', 'Daniel Radcliffe']",Maurissa Horwitz,Heitor Pereira,"['DMG Entertainment M6 Films Morgen Studios ON Animation Studios Wild Bunch', 'DMG Entertainment', 'M6 Films', 'Morgen Studios', 'ON Animation Studios', 'Wild Bunch']",Playmobil,Lino DiSalvo,40000000.0,16300000.0
The Aeronauts,"['Todd Lieberman', 'David Hoberman', 'Tom Harper']",George Steel,,100,2019-08-30,Tom Harper,"['Entertainment One (United Kingdom)', 'Amazon Studios (United States)']",English,Jack Thorne,"['Eddie Redmayne', 'Felicity Jones', 'Himesh Patel', 'Tom Courtenay']",Mark Eckersley,Steven Price,"['Mandeville Films', 'FilmNation Entertainment']",Richard Holmes,"['Tom Harper', 'Jack Thorne']",40000000.0,7000000.0
A Million Little Pieces,"['Aaron Taylor-Johnson', 'Sam Taylor-Johnson', 'Brad Weston', 'Pamela Abdy', 'Andrew Rona', 'Alex Heineman']",Jeff Cronenweth,,113,2018-09-10,Sam Taylor-Johnson,"['Momentum Pictures', 'Entertainment One']",English,"['Aaron Taylor-Johnson', 'Sam Taylor-Johnson']","['Aaron Taylor-Johnson', 'Billy Bob Thornton', 'Odessa Young', 'Giovanni Ribisi', 'Juliette Lewis', 'Charlie Hunnam']",Martin Pensa,"['Atticus Ross', 'Leopold Ross', 'Claudia Sarne']","['Makeready', 'Snoopsquirrel', 'The Picture Company', '3blackdot', 'Federal Films']","['A Million Little Pieces', 'James Frey']",,,
Daniel Isn't Real,"['Elijah Wood', 'Daniel Noah', 'Josh C. Waller', 'Lisa Whalen']",Lyle Vincent,United States,100,2019-03-09,Adam Egypt Mortimer,Samuel Goldwyn Films,English,"['Adam Egypt Mortimer', 'Brian DeLeeuw']","['Miles Robbins', 'Patrick Schwarzenegger', 'Sasha Lane', 'Mary Stuart Masterson', 'Hannah Marks', 'Chukwudi Iwuji', 'Peter McRobbie']",Brett W. Bachman,Clark,"['SpectreVision', 'ACE Pictures', 'Voltage Pictures']",In This Way I Was Saved by Brian DeLeeuw,,,
Trauma Center,"['Randall Emmett', 'George Furla', 'Luillo Ruiz', 'Mark Stewart', 'Matthew Helderman', 'Luke Taylor', 'Grady Craig', 'Tyler Gould']",Bryan Koss,United States,87,2019-12-06,Matt Eskandari,Lionsgate,English,Paul Da Silva,"['Bruce Willis', 'Nicky Whelan']",R.J. Cooper,Nima Fakhrara,"['Emmett Furla Oasis Films', 'BondIt Media Capital', 'The Pimienta Film Co.', 'Grindstone Entertainment Group']",,,,92968.0
Jumanji: The Next Level,"['Dwayne Johnson', 'Dany Garcia', 'Hiram Garcia', 'Matt Tolmach', 'Jake Kasdan']",Gyula Pados,United States,123,2019-12-13,Jake Kasdan,Sony Pictures Releasing,English,"['Jake Kasdan', 'Jeff Pinkner', 'Scott Rosenberg']","['Dwayne Johnson', 'Jack Black', 'Kevin Hart', 'Karen Gillan']","['Mark Helfrich', 'Steve Edwards', 'Tara Timpone']",Henry Jackman,"['Columbia Pictures', 'Matt Tolmach Productions', 'Seven Bucks Productions', 'The Detective Agency']","['Jumanji', 'Chris Van Allsburg']",,125000000.0,801700000.0
Richard Jewell,"['Tim Moore', 'Jessica Meier', 'Kevin Misher', 'Leonardo DiCaprio', 'Jennifer Davisson', 'Jonah Hill', 'Clint Eastwood']",Yves Bélanger,United States,129,2019-11-20,Clint Eastwood,Warner Bros. Pictures,English,Billy Ray,"['Sam Rockwell', 'Kathy Bates', 'Jon Hamm', 'Olivia Wilde', 'Paul Walter Hauser']",Joel Cox,Arturo Sandoval,"['Malpaso Productions', 'Appian Way Productions', 'Misher Films', '75 Year Plan Productions']","['""American Nightmare: The Ballad of Richard Jewell"" by Marie Brenner', 'The Suspect: An Olympic Bombing, the FBI, the Media, and Richard Jewell, the Man Caught in the Middle by Kent Alexander and Kevin Salwen']",,45000000.0,44650000.0
Black Christmas,"['Jason Blum', 'Ben Cosgrove', 'Adam Hendricks', 'Brigitte Berman']",Mark Schwartzbard,United States,92,2019-12-13,Sophia Takal,Universal Pictures,English,"['Sophia Takal', 'April Wolfe']","['Imogen Poots', 'Aleyse Shannon', 'Lily Donoghue', ""Brittany O'Grady"", 'Caleb Eberhardt', 'Cary Elwes']","['Jeff Betancourt', 'Ben Baudhuin']","['Will Blair', 'Brooke Blair']","['Blumhouse Productions', 'Divide/Conquer']",Black Christmas,,5000000.0,18500000.0
6 Underground,"['Ian Bryce', 'Michael Bay', 'David Ellison', 'Dana Goldberg', 'Don Granger']",Bojan Bazelli,United States,128,2019-12-10,Michael Bay,Netflix,English,"['Paul Wernick', 'Rhett Reese']","['Ryan Reynolds', 'Mélanie Laurent', 'Corey Hawkins', 'Adria Arjona', 'Manuel Garcia-Rulfo', 'Ben Hardy', 'Lior Raz', 'Payman Maadi', 'Yuri Kolokolnikov', 'Kim Kold', 'Dave Franco']","['Roger Barton', 'William Goldenberg', 'Calvin Wimmer']",Lorne Balfe,"['Skydance', 'Bay Films']",,,150000000.0,
Bombshell,"['Aaron L. Glibert', 'Jay Roach', 'Robert Graf', 'Michelle Graham', 'Charles Randolph', 'Margaret Riley', 'Charlize Theron', 'A.J. Dix', 'Beth Kono']",Barry Ackroyd,,109,2019-12-13,Jay Roach,Lionsgate,English,Charles Randolph,"['Charlize Theron', 'Nicole Kidman', 'Margot Robbie', 'John Lithgow', 'Kate McKinnon', 'Connie Britton', 'Malcolm McDowell', 'Allison Janney']",Jon Poll,Theodore Shapiro,"['Bron Studios', 'Annapurna Pictures', 'Denver and Delilah Productions', 'Gramsci', 'Lighthouse Management & Media', 'Creative Wealth Media']",,,32000000.0,61400000.0
Uncut Gems,"['Scott Rudin', 'Eli Bush', 'Sebastian Bear-McClard']",Darius Khondji,United States,135,2019-08-30,Josh Safdie Benny Safdie,"['A24 (United States)', 'Netflix (International)']",English,"['Ronald Bronstein', 'Josh Safdie', 'Benny Safdie']","['Adam Sandler', 'LaKeith Stanfield', 'Julia Fox', 'Kevin Garnett', 'Idina Menzel', 'Eric Bogosian']","['Ronald Bronstein', 'Benny Safdie']",Daniel Lopatin,"['A24', 'Elara Pictures', 'IAC Films', 'Sikelia Productions', 'Scott Rudin Productions']",,,19000000.0,50000000.0
Seberg,"['Marina Acton', 'Fred Berger', 'Kate Garwood', 'Stephen Hopkins', 'Brian Kavanaugh-Jones', 'Bradley Pilz', 'Alan Ritchson']",Rachel Morrison,,102,2019-08-30,Benedict Andrews,"['Amazon Studios (United States)', 'Universal Pictures (United Kingdom)']",English,"['Joe Shrapnel', 'Anna Waterhouse']","['Kristen Stewart', ""Jack O'Connell"", 'Margaret Qualley', 'Zazie Beetz', 'Vince Vaughn', 'Anthony Mackie']",Pamela Martin,Jed Kurzel,"['Automatik Entertainment', 'Bradley Pilz Productions', 'Phreaker Films', 'Ingenious Media', 'Totally Commercial Films']",,,8000000.0,675808.0
A Hidden Life,"['Elisabeth Bentley', 'Dario Bergesio', 'Grant Hill', 'Josh Jeter']",Jörg Widmer,,174,2019-05-19,Terrence Malick,"['Fox Searchlight Pictures', 'Pandora Film']",,Terrence Malick,"['August Diehl', 'Valerie Pachner', 'Matthias Schoenaerts']","['Rehman Nizar Ali', 'Joe Gleason', 'Sebastian Jones']",James Newton Howard,"['Elizabeth Bay Productions', 'Aceway', 'TSG Entertainment', 'Studio Babelsberg']",,,7000000.0,4600000.0
Star Wars: The Rise of Skywalker,"['Kathleen Kennedy', 'J. J. Abrams', 'Michelle Rejwan']",Dan Mindel,United States,142,2019-12-16,J. J. Abrams,Walt Disney Studios Motion Pictures,English,"['Chris Terrio', 'J. J. Abrams']","['Carrie Fisher', 'Mark Hamill', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Anthony Daniels', 'Naomi Ackie', 'Domhnall Gleeson', 'Richard E. Grant', ""Lupita Nyong'o"", 'Keri Russell', 'Joonas Suotamo', 'Kelly Marie Tran', 'Ian McDiarmid', 'Billy Dee Williams']","['Maryann Brandon', 'Stefan Grube']",John Williams,"['Lucasfilm Ltd.', 'Bad Robot Productions']","['Characters', 'George Lucas']","['Derek Connolly', 'Colin Trevorrow', 'J. J. Abrams', 'Chris Terrio']",416000000.0,1077000000.0
Cats,"['Debra Hayward', 'Tim Bevan', 'Eric Fellner', 'Tom Hooper']",Christopher Ross,,110,2019-12-16,Tom Hooper,Universal Pictures,English,"['Lee Hall', 'Tom Hooper']","['James Corden', 'Judi Dench', 'Jason Derulo', 'Idris Elba', 'Jennifer Hudson', 'Ian McKellen', 'Taylor Swift', 'Rebel Wilson', 'Francesca Hayward']",Melanie Oliver,Andrew Lloyd Webber,"['Working Title Films', 'Amblin Entertainment', 'Perfect World Pictures', 'Monumental Pictures', 'The Really Useful Group']","['Cats by Andrew Lloyd Webber', ""Old Possum's Book of Practical Cats by T. S. Eliot""]",,80000000.0,75500000.0
Togo,Kim Zubick,Ericson Core,United States,114,2019-12-20,Ericson Core,Walt Disney Studios Motion Pictures,English,Tom Flynn,['Willem Dafoe'],Martin Pensa,Mark Isham,Walt Disney Pictures,,,40000000.0,
Spies in Disguise,"['Peter Chernin', 'Jenno Topping', 'Michael J. Travers']",,United States,102,2019-12-04,"['Troy Quane', 'Nick Bruno']",20th Century Fox,English,"['Brad Copeland', 'Lloyd Taylor']","['Will Smith', 'Tom Holland', 'Rashida Jones', 'Ben Mendelsohn', 'Reba McEntire', 'Rachel Brosnahan', 'Karen Gillan', 'DJ Khaled', 'Masi Oka']","['Randy Trager', 'Christopher Campbell']",Theodore Shapiro,"['Blue Sky Studios', '20th Century Fox Animation', 'Chernin Entertainment']",Pigeon: Impossible by Lucas Martell,Cindy Davis,100000000.0,171600000.0
Little Women,"['Amy Pascal', 'Denise Di Novi', 'Robin Swicord']",Yorick Le Saux,United States,135,2019-12-07,Greta Gerwig,Sony Pictures Releasing,English,Greta Gerwig,"['Saoirse Ronan', 'Emma Watson', 'Florence Pugh', 'Eliza Scanlen', 'Laura Dern', 'Timothée Chalamet', 'Meryl Streep', 'Tracy Letts', 'Bob Odenkirk', 'James Norton', 'Louis Garrel', 'Chris Cooper']",Nick Houy,Alexandre Desplat,"['Columbia Pictures', 'Regency Enterprises', 'Pascal Pictures']","['Little Women', 'Louisa May Alcott']",,40000000.0,218900000.0
1917,"['Sam Mendes', 'Pippa Harris', 'Jayne-Ann Tenggren', 'Callum McDougall', 'Brian Oliver']",Roger Deakins,,119,2019-12-04,Sam Mendes,"['Universal Pictures (Worldwide)', 'Entertainment One ( United Kingdom and Ireland )']",English,"['Sam Mendes', 'Krysty Wilson-Cairns']","['George MacKay', 'Dean-Charles Chapman', 'Mark Strong', 'Andrew Scott', 'Richard Madden', 'Colin Firth', 'Benedict Cumberbatch']",Lee Smith,Thomas Newman,"['DreamWorks Pictures', 'Reliance Entertainment', 'New Republic Pictures', 'Mogambo', 'Neal Street Productions', 'Amblin Partners']",,,90000000.0,384600000.0
Just Mercy,Gil Netter,Brett Pawlak,United States,137,2019-09-06,Destin Daniel Cretton,Warner Bros. Pictures,English,"['Destin Daniel Cretton', 'Andrew Lanham']","['Michael B. Jordan', 'Jamie Foxx', 'Rob Morgan', 'Tim Blake Nelson', 'Rafe Spall', 'Brie Larson']",Nat Sanders,Joel P. West,"['Endeavor Content', 'One Community', 'Participant Media', 'Macro Media', 'Gil Netter Productions', 'Outlier Society']","['Just Mercy: A Story of Justice and Redemption', 'Bryan Stevenson']",,25000000.0,50400000.0
Clemency,"['Bronwyn Cornelius', 'Julian Cautherley', 'Peter Wong', 'Timur Bekbosunov']",Eric Branco,United States,113,2019-01-27,Chinonye Chukwu,Neon,English,Chinonye Chukwu,"['Alfre Woodard', 'Richard Schiff', 'Danielle Brooks', ""Michael O'Neill"", 'Richard Gunn', 'Wendell Pierce', 'Aldis Hodge']",Phyllis Housen,Kathryn Bostic,"['ACE Pictures', 'Big Indie Pictures', 'Bronwyn Cornelius Productions']",,,,364952.0
The Grudge,"['Sam Raimi', 'Rob Tapert', 'Takashige Ichise']",Zachary Galler,United States,94,2020-01-03,Nicolas Pesce,Sony Pictures Releasing,English,Nicolas Pesce,"['Andrea Riseborough', 'Demián Bichir', 'John Cho', 'Betty Gilpin', 'Lin Shaye', 'Jacki Weaver']","['Gardner Gould', 'Ken Blackwell']",The Newton Brothers,"['Screen Gems', 'Stage 6 Films', 'Ghost House Pictures']","['Ju-On: The Grudge', 'Takashi Shimizu']","['Nicolas Pesce', 'Jeff Buhler']",12000000.0,49500000.0
Underwater,"['Peter Chernin', 'Tonia Davis', 'Jenno Topping']",Bojan Bazelli,United States,95,2020-01-10,William Eubank,20th Century Fox,English,"['Brian Duffield', 'Adam Cozad']","['Kristen Stewart', 'Vincent Cassel', 'Jessica Henwick', 'John Gallagher Jr.', 'Mamoudou Athie', 'T.J. Miller']","['Todd E. Miller', 'Brian Berdan', 'William Hoy']","['Marco Beltrami', 'Brandon Roberts']","['20th Century Fox', 'TSG Entertainment', 'Chernin Entertainment']",,Brian Duffield,50000000.0,40900000.0
Like a Boss,"['Marc Evans', 'Peter Principato', 'Itay Reiss', 'Joel Zadak']",Jas Shelton,United States,83,2020-01-07,Miguel Arteta,Paramount Pictures,English,"['Sam Pitman', 'Adam Cole-Kelly']","['Tiffany Haddish', 'Rose Byrne', 'Jennifer Coolidge', 'Billy Porter', 'Salma Hayek']",Jay Deuby,"['Christophe Beck', 'Jake Monaco']",Artists First,,"['Sam Pitman', 'Adam Cole-Kelly', 'Danielle Sanchez-Witzel']",29000000.0,30400000.0
Three Christs,Daniel Levin,Denis Lenoir,United States,109,2017-09-12,Jon Avnet,IFC Films,English,"['Eric Nazarian', 'Jon Avnet']","['Richard Gere', 'Peter Dinklage', 'Walton Goggins', 'Bradley Whitford', 'Charlotte Hope', 'Kevin Pollak', 'Julianna Margulies']",Patrick J. Don Vito,Jeff Russo,"['Brooklyn Films', 'Highland Film Group', 'Narrative Capital']","['The Three Christs of Ypsilanti', 'Milton Rokeach']",,,37788.0
Inherit the Viper,"['Michel Merkt', 'Benito Mueller']",Nicholas Wiesnet,United States,84,2019-09-28,Anthony Jerjen,Lionsgate,English,Andrew Crabtree,"['Josh Hartnett', 'Margarita Levieva', 'Chandler Riggs', 'Bruce Dern', 'Valorie Curry', 'Owen Teague', 'Dash Mihok']","['Gordon Antell', 'Kiran Pallegadda']",,"['Barry Films', 'Tycor International Film Company']",,,,
The Sonata,"['Aija Berzina', 'Matthew Bradley', 'Ron Bradley', 'Jonathan Feuer', 'Patrick Fischer', 'Laurent Fumeron', 'Alise Gelze', 'David Gilbery', 'Daniel Goroshko', 'James Kermack', 'Julien Loeffler', 'Rodolphe Sanzé', 'Sergey Selyanov', 'Fabrice Smadja', 'Sharunya Varriele']",Janis Eglitis,,90,2018-11-15,Andrew Desmond,Screen Media Films,,"['Andrew Desmond', 'Arthur Morin']","['Freya Tingley', 'Simon Abkarian', 'James Faulkner', 'Rutger Hauer', 'Matt Barber', 'James Kermack']",J.P. Ferré,Alexis Maingaud,CTB Film Company,,,,178887.0
The Murder of Nicole Brown Simpson,Eric Brenner Daniel Farrands Lucas Jarach,Ben Demaree,United States,82,2019-12-09,Daniel Farrands,Quiver Distribution,English,Michael Arter,"['Mena Suvari', 'Nick Stahl']",Brian D'Augustine Dan Riddle,Michael Gatt,,,,,
Angels Fallen,"['Rhett Giles', 'Jonathan Haug', 'Justin Jones', 'Zeus Zamani']",Dane Lawing,United States,86,2020-01-14,Ali Zamani,Uncork'd Entertainment,English,Amanda Barton,"['Nicola Posener', 'Houston Rhines', 'Michael Teh', 'Li Jing', 'Michael Madsen', 'Said Legue', 'Caroline Amiguet', 'Eric Roberts']",Megan Butterworth,Scott Anthony Gould,AZ Film Studios,,,,
Bad Boys for Life,"['Jerry Bruckheimer', 'Will Smith', 'Doug Belgrad']",Robrecht Heyvaert,United States,124,2020-01-17,Adil & Bilall,Sony Pictures Releasing,,"['Chris Bremner', 'Peter Craig', 'Joe Carnahan']","['Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Alexander Ludwig', 'Paola Núñez', 'Charles Melton', 'Kate del Castillo', 'Nicky Jam', 'Joe Pantoliano']","['Dan Lebental', 'Peter McNulty']",Lorne Balfe,"['Columbia Pictures', '2.0 Entertainment', 'Don Simpson/Jerry Bruckheimer Films', 'Overbrook Entertainment']",George Gallo,"['Peter Craig', 'Joe Carnahan']",90000000.0,426500000.0
Dolittle,"['Joe Roth', 'Jeff Kirschenbaum', 'Susan Downey']",Guillermo Navarro,United States,101,2020-01-17,Stephen Gaghan,Universal Pictures,English,"['Stephen Gaghan', 'Dan Gregor', 'Doug Mand']","['Robert Downey Jr.', 'Antonio Banderas', 'Michael Sheen', 'Harry Collett', 'Emma Thompson', 'Rami Malek', 'John Cena', 'Kumail Nanjiani', 'Octavia Spencer', 'Tom Holland', 'Ralph Fiennes', 'Selena Gomez', 'Marion Cotillard']","['Craig Alpert', 'Chris Lebenzon']",Danny Elfman,"['R/K Films', 'Team Downey Productions', 'Perfect World Pictures']","['Doctor Dolittle', 'Hugh Lofting']",Thomas Shepherd,175000000.0,251500000.0
A Fall from Grace,"['Mark E. Swinton', 'Will Areu']",Terrence Burke,United States,120,2020-01-17,Tyler Perry,Netflix,English,Tyler Perry,"['Crystal Fox', 'Phylicia Rashad', 'Bresha Webb', 'Mehcad Brooks', 'Cicely Tyson', 'Tyler Perry']",Larry Sexton,Jay Weigel,Tyler Perry Studios,,,,
The Gentlemen,"['Guy Ritchie', 'Ivan Atkinson', 'Bill Block']",Alan Stewart,,113,2019-12-03,Guy Ritchie,"['Entertainment Film Distributors (United Kingdom)', 'STXfilms (United States)']",English,Guy Ritchie,"['Matthew McConaughey', 'Charlie Hunnam', 'Henry Golding', 'Michelle Dockery', 'Jeremy Strong', 'Eddie Marsan', 'Colin Farrell', 'Hugh Grant']","['James Herbert', 'Paul Machliss']",Christopher Benstead,Miramax,,"['Guy Ritchie', 'Ivan Atkinson', 'Marn Davies']",22000000.0,115200000.0
The Turning,"['Scott Bernstein', 'Roy Lee']",David Ungaro,United States,94,2020-01-23,Floria Sigismondi,Universal Pictures,English,"['Carey W. Hayes', 'Chad Hayes']","['Mackenzie Davis', 'Finn Wolfhard', 'Brooklynn Prince', 'Joely Richardson']","['Duwayne Dunham', 'Glenn Garland']",Nathan Barr,"['DreamWorks Pictures', 'Amblin Entertainment', 'Vertigo Entertainment', 'Reliance Entertainment', 'Chislehurst Entertainment']","['The Turn of the Screw', 'Henry James']",,14000000.0,19400000.0
The Last Full Measure,"['Julian Adams', 'Michael Bassick', 'Timothy Scott Bogart', 'Nicholas Cafritz', 'Adi Cohen', 'Mark Damon', 'Pen Densham', 'Petr Jákl', 'Robert Reed Peterson', 'Jordi Reliu', 'Shaun Sanghani', 'Lauren Selig', 'Sidney Sherman', 'John Watson', 'TJ Steyn']",Byron Werner,United States,110,2019-10-19,Todd Robinson,Roadside Attractions,English,Todd Robinson,"['Sebastian Stan', 'Christopher Plummer', 'William Hurt', 'Ed Harris', 'Samuel L. Jackson', 'Peter Fonda', 'LisaGay Hamilton', 'Jeremy Irvine', 'Diane Ladd', 'Amy Madigan', 'Linus Roache', 'John Savage', 'Alison Sudol', 'Bradley Whitford']","['Claudia Castello', 'Terel Gibson', 'Richard Nord']",Philip Klein,"['Foresight Unlimited', 'SSS Entertainment', 'BCL Finance Group', 'Boss Collaboration', 'Lightbox Pictures', 'Provocator', 'SC Films Thailand Co']",,,20000000.0,3400000.0
John Henry,"['Maurice Fadida', 'Eric B. Fleischman', 'Brian Kavanaugh-Jones']",Isiah Donte Lee,United States,91,2020-01-24,Will Forbes,Saban Films,English,"['Doug Skinner', 'Will Forbes']","['Terry Crews', 'Jamila Velazquez', 'J.J. Soria', 'Ken Foree', 'Chris ""Ludacris"" Bridges']",Joe Rosenbloom,"['Will Forbes', 'DJ Quik']","['Defiant Studios', 'Automatik']",,,,
The Rhythm Section,"['Barbara Broccoli', 'Michael G. Wilson']",Sean Bobbitt,,109,2020-01-31,Reed Morano,Paramount Pictures,English,Mark Burnell,"['Blake Lively', 'Jude Law', 'Sterling K. Brown']",Joan Sobel,Steve Mazzaro,"['Eon Productions', 'Global Road Entertainment', 'Storyoscopic Films']",The Rhythm Section by Mark Burnell,,50000000.0,6000000.0
Gretel & Hansel,"['Brian Kavanaugh-Jones', 'Fred Berger']",Galo Olivares,,87,2020-01-31,Oz Perkins,United Artists Releasing,English,Rob Hayes,"['Sophia Lillis', 'Sam Leakey', 'Alice Krige', 'Jessica De Gouw']","['Josh Ethier', 'Julia Wong']",Robin Coudert,"['Orion Pictures', 'Automatik Entertainment', 'Bron Creative']","['Hansel and Gretel', 'The Brothers Grimm']",,5000000.0,22100000.0
The Assistant,"['Kitty Green', 'James Schamus', 'Scott Macaulay', 'P. Jennifer Dana', 'Ross Jacobson']",Michael Latham,United States,87,2019-08-30,Kitty Green,Bleecker Street,English,Kitty Green,"['Julia Garner', 'Matthew Macfadyen', 'Makenzie Leigh', 'Kristine Froseth', 'Jon Orsini', 'Noah Robbins']","['Kitty Green', 'Blair McClendon']",Tamar-kali,"['Symbolic Exchange', '3311 Productions', 'Level Forward', 'Cinereach', 'Forensic Films', 'Bellmer Pictures', 'JJ Homeward Productions']",,,1700000.0,1400000.0
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,"['Margot Robbie', 'Bryan Unkeless', 'Sue Kroll']",Matthew Libatique,United States,109,2020-01-25,Cathy Yan,Warner Bros. Pictures,English,Christina Hodson,"['Margot Robbie', 'Mary Elizabeth Winstead', 'Jurnee Smollett-Bell', 'Rosie Perez', 'Chris Messina', 'Ella Jay Basco', 'Ali Wong', 'Ewan McGregor']","['Jay Cassidy', 'Evan Schiff']",Daniel Pemberton,"['Warner Bros. Pictures', 'DC Films', 'LuckyChap Entertainment', 'Clubhouse Pictures', 'Kroll & Co. Entertainment']","['Characters', 'DC']",,82000000.0,205400000.0
